count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-479468.60127022845	198933.60098987113	--	-479468.60127022845	-0.008565720725632574	0.13053567470276725	-9.927842761972089	6.742999170879595	-3.2518023968864975	4.3803046480069545	-15.0	14.83274075466331	66743
-473035.4801995817	183241.24670135297	--	-473035.4801995817	-0.008704010706780322	0.13054668574892428	-9.788722743023321	6.614913959300256	-3.206215509190655	4.335724269992801	-15.0	11.072467975858938	66947
-486914.80639274843	201486.79557938201	--	-486914.80639274843	-0.008490998556960326	0.12899732385973067	-9.779302439527372	6.3783449935693985	-3.1512024885405863	4.251176179757561	-15.0	13.534938865984094	66997
-478264.81919378607	181167.7073517959	--	-478264.81919378607	-0.008337604031823848	0.1274591683702777	-9.741598625414191	6.155172588889446	-3.191748370492572	4.266398799985059	-15.0	10.273185628772154	66819
-500042.8690666999	192925.05236725762	--	-500042.8690666999	-0.008504137745878418	0.12892489341575053	-9.751694057549061	5.910505130232579	-3.172698750019379	4.262862849928432	-15.0	14.898502246599103	66791
-571748.0738085125	241848.06909102967	--	-571748.0738085125	-0.008588314608096793	0.13118989228017872	-9.458615623256405	5.73147212630478	-3.2419149951439836	4.298745631359545	-15.0	14.547219863028882	66656
-488606.11548869935	210931.24723680547	--	-488606.11548869935	-0.008706471188382137	0.1347714918548841	-9.498576549175855	5.950871982148109	-3.2915995281372683	4.4330954375246785	-15.0	13.695591354680554	66930
-482949.71721630276	215401.59262995358	--	-482949.71721630276	-0.00828661654046485	0.12610408104466367	-9.519586844076684	5.666328143137093	-3.105723421957636	4.258584516883529	-15.0	13.254448859997648	66527
-492192.0850339383	207010.45630097034	--	-492192.0850339383	-0.008467220121997675	0.12564428654306645	-9.597961150108066	6.128911216376491	-3.236376079680319	4.26545249133674	-15.0	13.912862400169226	66945
-514527.5256886342	185691.3045710578	--	-514527.5256886342	-0.008777697421932015	0.12940882078809474	-9.080632738655169	5.846753733034655	-3.3420420340053565	4.388439198674484	-15.0	13.879054848753047	67099
-491438.86125780357	197979.33159711378	--	-491438.86125780357	-0.008556949960928985	0.13075606631859862	-8.748495573476013	5.849039180320835	-3.1468029101370663	4.346959448591735	-15.0	8.746552770235962	66742
-536915.8670901611	246494.24745233305	--	-536915.8670901611	-0.008214165778159224	0.1314368928508128	-8.77700059889754	5.956782966793503	-2.9879816062319375	4.28312526398467	-15.0	13.057660185938847	66820
-511002.43630763807	207400.99689916687	--	-511002.43630763807	-0.008539252301206324	0.12766776863817894	-8.813329807010971	5.438225879978277	-3.2586251246075886	4.301426267709707	-15.0	13.08014837724775	66829
-500640.2719671191	199390.78966206862	--	-500640.2719671191	-0.008602030641803577	0.1288493666502382	-8.69022042273662	5.857541465323119	-3.2647926280183284	4.33207447976256	-15.0	13.408995776137884	66713
-485857.5867793771	193252.37995188977	--	-485857.5867793771	-0.008628733867672133	0.13039411994796288	-8.37173710703505	5.829205376634839	-3.1682520568796217	4.349141942780501	-15.0	13.412981557720713	66789
-489010.1717106788	191841.97524659778	--	-489010.1717106788	-0.00856570924891586	0.129046299886037	-8.353684555548458	5.795302730660523	-3.1521566151824483	4.28940714566648	-15.0	14.523245715302656	66743
-490164.9251436771	183096.01867940882	--	-490164.9251436771	-0.008308776066070582	0.12529775752825414	-8.36060947555264	6.078805296886058	-3.1320438026620234	4.2017052697114545	-15.0	14.50914583686188	66919
-504997.63505787146	207567.05392546178	--	-504997.63505787146	-0.008672792108559238	0.13049096642457286	-8.186471146565598	5.893598391018461	-3.1865945394151436	4.295178108301633	-15.0	14.54072851719441	66613
-487290.28803261806	206771.98991480318	--	-487290.28803261806	-0.008291455503738856	0.1255005785198347	-8.652968082623678	6.006668014107528	-3.0970233068759465	4.1769997124469045	-15.0	14.700106788325627	67014
